photonEnergy	Refl_sample	Phase_Sample	Refl_Monochromator	Phase_Monochromator	ReflSample_cc_ReflMono2	
-7.14	6.38571633393e-05	3.32936882184	0.00010666039921	3.41261307071	6.86904907866e-05	
-7.12	6.42088603584e-05	3.32936061699	0.000107237653887	3.41259150101	6.90830171327e-05	
-7.1	6.45634709947e-05	3.32935236724	0.000107819607691	3.41256981521	6.94789193828e-05	
-7.08	6.49210275222e-05	3.32934407221	0.000108406311768	3.41254801237	6.98782363859e-05	
-7.06	6.52815626631e-05	3.32933573155	0.000108997817961	3.41252609152	7.02810075514e-05	
-7.04	6.56451095949e-05	3.32932734487	0.000109594178821	3.41250405172	7.06872728592e-05	
-7.02	6.60117019588e-05	3.32931891178	0.000110195447622	3.41248189199	7.10970728695e-05	
-7.0	6.63813738666e-05	3.3293104319	0.000110801678369	3.41245961135	7.15104487327e-05	
-6.98	6.67541599092e-05	3.32930190485	0.000111412925812	3.41243720881	7.19274422002e-05	
-6.96	6.71300951647e-05	3.32929333022	0.00011202924546	3.41241468336	7.23480956348e-05	
-6.94	6.75092152064e-05	3.32928470762	0.00011265069359	3.41239203399	7.27724520213e-05	
-6.92	6.78915561113e-05	3.32927603664	0.000113277327263	3.41236925967	7.32005549776e-05	
-6.9	6.8277154469e-05	3.32926731688	0.000113909204334	3.41234635937	7.36324487662e-05	
-6.88	6.86660473897e-05	3.32925854792	0.000114546383471	3.41232333204	7.40681783053e-05	
-6.86	6.9058272514e-05	3.32924972934	0.00011518892416	3.41230017662	7.45077891807e-05	
-6.84	6.94538680214e-05	3.32924086072	0.000115836886726	3.41227689204	7.49513276577e-05	
-6.82	6.98528726398e-05	3.32923194165	0.000116490332347	3.41225347721	7.53988406933e-05	
-6.8	7.02553256552e-05	3.32922297167	0.000117149323062	3.41222993103	7.58503759488e-05	
-6.78	7.06612669212e-05	3.32921395036	0.000117813921793	3.41220625241	7.63059818023e-05	
-6.76	7.10707368682e-05	3.32920487727	0.000118484192356	3.41218244021	7.67657073617e-05	
-6.74	7.14837765149e-05	3.32919575196	0.000119160199477	3.4121584933	7.72296024783e-05	
-6.72	7.19004274774e-05	3.32918657398	0.00011984200881	3.41213441055	7.76977177599e-05	
-6.7	7.23207319799e-05	3.32917734286	0.000120529686949	3.41211019078	7.81701045848e-05	
-6.68	7.27447328662e-05	3.32916805814	0.000121223301447	3.41208583282	7.86468151162e-05	
-6.66	7.31724736089e-05	3.32915871937	0.00012192292083	3.4120613355	7.91279023163e-05	
-6.64	7.36039983225e-05	3.32914932605	0.000122628614619	3.4120366976	7.96134199611e-05	
-6.62	7.40393517738e-05	3.32913987772	0.000123340453342	3.41201191792	8.01034226556e-05	
-6.6	7.44785793933e-05	3.32913037389	0.000124058508553	3.41198699523	8.05979658491e-05	
-6.58	7.49217272876e-05	3.32912081407	0.000124782852853	3.41196192829	8.10971058509e-05	
-6.56	7.53688422511e-05	3.32911119776	0.000125513559903	3.41193671583	8.16008998465e-05	
-6.54	7.58199717787e-05	3.32910152446	0.000126250704449	3.4119113566	8.21094059138e-05	
-6.52	7.6275164078e-05	3.32909179366	0.000126994362334	3.41188584929	8.26226830403e-05	
-6.5	7.67344680827e-05	3.32908200485	0.000127744610525	3.41186019262	8.31407911398e-05	
-6.48	7.71979334654e-05	3.3290721575	0.000128501527128	3.41183438527	8.36637910699e-05	
-6.46	7.76656106511e-05	3.3290622511	0.000129265191408	3.4118084259	8.41917446505e-05	
-6.44	7.81375508308e-05	3.3290522851	0.000130035683813	3.41178231318	8.47247146814e-05	
-6.42	7.86138059756e-05	3.32904225897	0.000130813085993	3.41175604572	8.52627649617e-05	
-6.4	7.90944288515e-05	3.32903217217	0.000131597480822	3.41172962216	8.58059603084e-05	
-6.38	7.95794730329e-05	3.32902202413	0.000132388952422	3.4117030411	8.63543665762e-05	
-6.36	8.00689929187e-05	3.3290118143	0.000133187586182	3.41167630113	8.69080506775e-05	
-6.34	8.05630437468e-05	3.32900154212	0.000133993468782	3.41164940081	8.74670806029e-05	
-6.32	8.10616816105e-05	3.32899120701	0.00013480668822	3.41162233871	8.80315254421e-05	
-6.3	8.15649634728e-05	3.32898080839	0.000135627333832	3.41159511335	8.86014554054e-05	
-6.28	8.20729471849e-05	3.32897034568	0.000136455496318	3.41156772325	8.91769418452e-05	
-6.26	8.25856915005e-05	3.32895981827	0.000137291267767	3.41154016692	8.97580572791e-05	
-6.24	8.31032560953e-05	3.32894922558	0.000138134741682	3.41151244283	9.0344875412e-05	
-6.22	8.36257015818e-05	3.32893856698	0.000138986013009	3.41148454946	9.09374711603e-05	
-6.2	8.41530895292e-05	3.32892784186	0.000139845178159	3.41145648523	9.15359206753e-05	
-6.18	8.46854824798e-05	3.3289170496	0.000140712335039	3.41142824859	9.21403013681e-05	
-6.16	8.52229439691e-05	3.32890618956	0.000141587583079	3.41139983793	9.27506919343e-05	
-6.14	8.57655385435e-05	3.32889526111	0.000142471023259	3.41137125164	9.33671723804e-05	
-6.12	8.63133317809e-05	3.32888426359	0.000143362758141	3.41134248809	9.39898240492e-05	
-6.1	8.68663903088e-05	3.32887319635	0.000144262891897	3.41131354562	9.46187296475e-05	
-6.08	8.74247818264e-05	3.32886205872	0.000145171530337	3.41128442256	9.52539732732e-05	
-6.06	8.79885751245e-05	3.32885085003	0.000146088780947	3.41125511722	9.58956404434e-05	
-6.04	8.85578401061e-05	3.3288395696	0.000147014752912	3.41122562786	9.6543818124e-05	
-6.02	8.91326478094e-05	3.32882821673	0.000147949557156	3.41119595277	9.71985947581e-05	
-6.0	8.9713070429e-05	3.32881679073	0.000148893306371	3.41116609016	9.78600602975e-05	
-5.98	9.02991813386e-05	3.32880529089	0.000149846115052	3.41113603828	9.85283062326e-05	
-5.96	9.08910551145e-05	3.32879371649	0.000150808099534	3.41110579529	9.9203425625e-05	
-5.94	9.14887675597e-05	3.32878206679	0.000151779378022	3.41107535939	9.98855131394e-05	
-5.92	9.2092395727e-05	3.32877034107	0.000152760070633	3.41104472871	0.000100574665077	
-5.9	9.27020179453e-05	3.32875853858	0.000153750299431	3.41101390138	0.000101270979411	
-5.88	9.33177138434e-05	3.32874665856	0.000154750188463	3.41098287551	0.000101974555817	
-5.86	9.3939564378e-05	3.32873470024	0.000155759863803	3.41095164915	0.000102685495717	
-5.84	9.45676518586e-05	3.32872266285	0.000156779453586	3.41092022037	0.000103403902306	
-5.82	9.52020599748e-05	3.32871054561	0.00015780908805	3.41088858719	0.000104129880598	
-5.8	9.5842873826e-05	3.3286983477	0.000158848899583	3.41085674761	0.00010486353746	
-5.78	9.64901799477e-05	3.32868606833	0.000159899022757	3.41082469961	0.000105604981653	
-5.76	9.71440663421e-05	3.32867370668	0.000160959594378	3.41079244112	0.000106354323871	
